"lang"
{
	"Language"	"russian"
	"DOTA_Tooltip_Ability_venomancer_venomous_gale_datadriven_movement_slow"					                    	"%Замедление передвижения:"
	"DOTA_Tooltip_Ability_venomancer_venomous_gale_datadriven_cooldown"                                                 "Перезарядка:"
	"DOTA_Tooltip_Ability_venomancer_plague_ward_datadriven_duration"                                                   "Длительность:"
	"DOTA_Tooltip_Ability_venomancer_plague_ward_datadriven_attack_speed"                                               "Текущая доп. скорость атаки тотемов:"		
	"DOTA_Tooltip_Ability_venomancer_plague_ward_datadriven_health"                                                     "Здоровье:"
	"DOTA_Tooltip_Ability_venomancer_poison_sting_datadriven_damage"                                                    "Периодический урон:"		
	"DOTA_Tooltip_Ability_venomancer_poison_sting_datadriven_movement_speed"                                            "%Замедление передвижения:"		
	"DOTA_Tooltip_Ability_venomancer_poison_sting_datadriven_duration"                                                  "Длительность:"
	"DOTA_Tooltip_Ability_venomancer_venomous_gale_datadriven_duration"                                                 "Длительность:"
	"DOTA_Tooltip_Ability_venomancer_poison_nova_datadriven_radius"                                                     "Радиус:"
	"DOTA_Tooltip_Ability_venomancer_poison_nova_datadriven_duration"                                                   "Длительность:"
	"DOTA_Tooltip_Ability_venomancer_poison_nova_datadriven_damage"                                                     "Периодический урон:"
	
	"DOTA_Tooltip_Ability_pathfinder_venomancer_bigass_ward"		                                                    "Малыш Терри"
	"DOTA_Tooltip_Ability_pathfinder_venomancer_bigass_ward_Description"		                                        "Теперь Venomancer может призвать Ужас Островов Джиди — огромный огнедышащий тотем, который будет призывать по одному обычному тотему текущего уровня каждые 12 секунд.  Урон от огненного дыхания равен урону героя, умноженному на 3."
	
	
	//>---------------------------------------
	//>--- MINOR SHARD -----------------------
	//>---------------------------------------
	
	
	"venomancer_venomous_gale_datadriven_tick_damage" 				                                	"+{s:value} к урону от срабатывания {s:ability_name}"
	"venomancer_venomous_gale_datadriven_distance" 					                                    "+{s:value} к дальности прохождения {s:ability_name}"
	"venomancer_venomous_gale_datadriven_movement_slow" 		                            			"{s:value}% к замедлению передвижения врагов от {s:ability_name}"
	"venomancer_venomous_gale_datadriven_cooldown" 			                                        	"-{s:value}% перезарядки {s:ability_name}"
	"venomancer_plague_ward_datadriven_duration" 			                                    		"+{s:value} секунд к длительности {s:ability_name}"
	"venomancer_plague_ward_datadriven_health" 			                                            	"+{s:value} к здоровью тотемов {s:ability_name}"
	"venomancer_plague_ward_datadriven_attack_speed" 		                                        	"+{s:value} к скорости атаки {s:ability_name}"
	"venomancer_poison_sting_datadriven_damage" 				                                        "+{s:value} к периодическому урону {s:ability_name}"
	"venomancer_poison_sting_datadriven_movement_speed" 		                                		"{s:value}% к замедлению передвижения врагов {s:ability_name}"
	"venomancer_poison_nova_datadriven_duration" 				                                        "+{s:value} секунд к длительности эффекта {s:ability_name}"
	"venomancer_poison_nova_datadriven_cooldown" 				                                        "-{s:value}% перезарядки {s:ability_name}"
	"venomancer_poison_nova_datadriven_radius" 			                                            	"+{s:value} к радиусу {s:ability_name}"
	
	
	//>---------------------------------------
	//>--- BRISTLE SHARD ---------------------
	//>---------------------------------------
	
	"DOTA_Tooltip_Ability_item_venomancer_venomous_gale_datadriven_tick_damage"		                                    "Venomous Gale: периодический урон"
	"DOTA_Tooltip_Ability_item_venomancer_venomous_gale_datadriven_tick_damage_Description"		                    	"<h1>Обычный фрагмент скипетра</h1>Увеличивает периодический урон Venomous Gale на %value% ."
